Unnamed: 0,prompt,response
2063,দেখ!সে কেবল সেই গাড়িতে আঘাত করেছে।,"ওহ, আমার মঙ্গল।রাস্তায় কেউ নিরাপদ নয়।"
2064,"ওহ, আমার মঙ্গল।রাস্তায় কেউ নিরাপদ নয়।",এখন সে ধীর হয়ে যাচ্ছে।
2065,এখন সে ধীর হয়ে যাচ্ছে।,হয়তো সে গ্যাসের বাইরে চলে গেল।
2066,হয়তো সে গ্যাসের বাইরে চলে গেল।,দেখ!সে সবেমাত্র গাড়ি থেকে উঠে দৌড়াতে শুরু করল।
2067,দেখ!সে সবেমাত্র গাড়ি থেকে উঠে দৌড়াতে শুরু করল।,আমি আশা করি পুলিশ তাকে ধরবে।
2068,টিভি নিউজ এত বোকা।,এমনকি তাদের এটিকে সংবাদও বলা উচিত নয়।
2069,এমনকি তাদের এটিকে সংবাদও বলা উচিত নয়।,গত রাতে তারা আমাদের একটি সোফায় একটি বিড়াল সম্পর্কে জানিয়েছিল।
2070,গত রাতে তারা আমাদের একটি সোফায় একটি বিড়াল সম্পর্কে জানিয়েছিল।,গতকাল তারা আমাদের পাইপে একটি কুকুর সম্পর্কে বলেছিল।
2071,গতকাল তারা আমাদের পাইপে একটি কুকুর সম্পর্কে বলেছিল।,গত সপ্তাহে তারা আমাদের পিছনের উঠোনের একটি ভালুক সম্পর্কে জানিয়েছিল।
2072,গত সপ্তাহে তারা আমাদের পিছনের উঠোনের একটি ভালুক সম্পর্কে জানিয়েছিল।,গত মাসে তারা আমাদের একটি রেস্তোঁরায় একটি মাউস সম্পর্কে জানিয়েছিল।
2073,গত মাসে তারা আমাদের একটি রেস্তোঁরায় একটি মাউস সম্পর্কে জানিয়েছিল।,আবহাওয়া আমাদের প্রতিটি শহরে তাপমাত্রা জানায়।
2074,আবহাওয়া আমাদের প্রতিটি শহরে তাপমাত্রা জানায়।,স্পোর্টস গাই আমাদের খেলোয়াড়দের লড়াই করে দেখায়।
2075,স্পোর্টস গাই আমাদের খেলোয়াড়দের লড়াই করে দেখায়।,"তারা সবসময় আমাদের বলে ""এর পরে কী""।"
2076,"তারা সবসময় আমাদের বলে ""এর পরে কী""।","তারা সর্বদা ""পরবর্তী কী"" শব্দটি উত্তেজনাপূর্ণ করে তোলে তবে তা কখনই হয় না।"
2077,"তারা সর্বদা ""পরবর্তী কী"" শব্দটি উত্তেজনাপূর্ণ করে তোলে তবে তা কখনই হয় না।",এটি বাচ্চাদের জন্য খবরের মতো।
